record_id,source,content,review_title,published_at,likes,shares,views,rating,travel_type,language,hashtag,discovery_term,video_id,video_caption,comment_date_text,product_id,product_title,app_id,source_url,retrieved_at,clean_text,analysis_text
tiktok:00ac26fb5f652eb5,tiktok_comment,Yes please!!!,,,0,,,,,en,"#China,#Travel,#ChinaTravel,#Meetpanda,#sports",#TravelChina,7623295096703699968,Go-kart on water In a canyon? With cliffs flying by? #China#Travel#ChinaTravel #Meetpanda#sports ,5-28,,,,https://www.tiktok.com/@meetpanda/video/7623295096703700231/,2026-08-17 07:56:10.857888+00:00,Yes please!!!,yes please
tiktok:00b86729dc1ad916,tiktok_comment,China is on my bucket list,,,0,,,,,en,"#china,#travel,#zhangjiajie,#furongtown,#chongqing,#chengdu,#shanghai,#wulong,#wangxian",#ChinaTravel,7521403255327312896,"Thinking of visiting China? Here are 8 places to visit that blew my mind! If you’re planing to visit all these spots, make sure to plan time 1. Wangxian Valley 2. Zhangjiajie (Sky Garden & Tianmen Mountain) 3. Furong Town 4. Wulong (Three Natural Bridges) 5. Chongqing (Hongyadong) 6. Guilin (Yangshuo) 7. Chengdu (Tianfu International Finance Centre & Dujiangyan Zhongshuge) 8. Shanghai (The Bund & Disneyland) #china #travel #zhangjiajie #furongtown #chongqing #chengdu #shanghai #wulong #wangxian",2025-7-12,,,,https://www.tiktok.com/@lifewithelliott/video/7521403255327313208/,2026-07-25 08:46:57.973720+00:00,China is on my bucket list,china bucket list
tiktok:00ba96210c2e9eb8,tiktok_comment,The 🌎🙏🙏🙏Pray #justiceForYumenglong,,,0,,,,,en,"#chongqing,#travelchina,#travelinchina,#重庆,#chongqingcity",#ChinaTour,7552849646088080384,Cyberpunk City in China 🌃 #chongqing #travelchina🇨🇳 #travelinchina #重庆 #chongqingcity ,2025-9-28,,,,https://www.tiktok.com/@marcelinostanley/video/7552849646088080696/,2026-08-17 07:48:31.836137+00:00,The Pray,pray
tiktok:00c0d42b8a945055,tiktok_comment,lovely 🌹 awesome 💯 gorgeous,,,0,,,,,en,"#中國旅行,#大陸旅遊,#chinatravel,#張家界,#琅琊古城",#ChinaTravel,7658927333285399552,中國旅行一站式服務，免費諮詢，規劃你的行程吧！🛫#中國旅行 #大陸旅遊 #chinatravel #張家界 #琅琊古城 ,3d ago,,,,https://www.tiktok.com/@zgs71933tdx/video/7658927333285399828/,2026-07-23 05:41:34.619567+00:00,lovely awesome gorgeous,lovely awesome gorgeous
tiktok:00ca71cb4c4d858c,tiktok_comment,"Tư vấn, xin giá",,,0,,,,,vi,"#datminhtran,#trungquoc,#tourtrungquoc,#daily,#conminh",#ChinaTravel,7662986963665898496,Review Tour Trung Quốc Đại Lí Côn Minh 4N3Đ #datminhtran #trungquoc #tourtrungquoc #daily #conminh ,2d ago,,,,https://www.tiktok.com/@dattr.1/video/7662986963665898759/,2026-07-23 05:47:27.867375+00:00,"Tư vấn, xin giá",tư vấn xin giá
tiktok:00ccb094645923ff,tiktok_comment,ke tianmenshan naik eskalator dlm Goa sudah. dan ini yang saya pingin schedule kan.. semoga sehat rejeki lancar aamiin🤲,,,0,,,,,id,"#lingshan,#shangrao,#上饶灵山,#wolink,#chinatravel,#chinanature,#explorechina,#travel,#fyp,#tiktoktravel,#VisitChina,#ChinaTourism,#travelbucketlist",#ChinaTravel,7639185442000161792,Lingshan in Shangrao: China’s 33rd Taoist blessed land with stunning stone sea and cliffside walks. #lingshan #shangrao #上饶灵山 #wolink #chinatravel #chinanature #explorechina #travel #fyp #tiktoktravel #VisitChina #ChinaTourism #travelbucketlist ,7-19,,,,https://www.tiktok.com/@lamartin183/video/7639185442000162061/,2026-08-16 15:04:53.399104+00:00,ke tianmenshan naik eskalator dlm Goa sudah. dan ini yang saya pingin schedule kan.. semoga sehat rejeki lancar aamiin,tianmenshan eskalator dlm goa pingin schedule semoga sehat rejeki lancar aamiin
tiktok:00d57d372469c5fa,tiktok_comment,Einfach 100 Jahre voraus 👍,,,0,,,,,en,"#Chinese,#travel,#Shenzhen,#travelguide,#ShenzhenChina",#ChinaTravel,7661220699196967936,This isn’t AI-generated. It’s an actual parking lot in Shenzhen. #Chinese#travel#Shenzhen#travelguide#ShenzhenChina,5d ago,,,,https://www.tiktok.com/@sofiabargas81/video/7661220699196968206/,2026-07-24 07:45:21.499431+00:00,Einfach 100 Jahre voraus,einfach jahre voraus
tiktok:00e89c26c73d384b,tiktok_comment,This would be the most prettiest shi without light pollution 🥹,,,0,,,,,en,"#travel,#china,#guangzhou,#spot,#night",#ChinaTravel,7674209791740267520,The best spot of Guangzhou !! #travel #china #guangzhou #spot #night ,1d ago,,,,https://www.tiktok.com/@tayumabroad/video/7674209791740267809/,2026-08-17 07:15:57.590633+00:00,This would be the most prettiest shi without light pollution,would prettiest shi without light pollution
tiktok:01094b1cccc9ee5f,tiktok_comment,Where is this place in China?,,,0,,,,,en,"#China,#chinatravel,#zhangjiajie,#张家界,#avatar",#TravelChina,7567644998057921536,Zhangjiajie: wher Avatar’s floating mountains meet reality!🏔️ #China #chinatravel #zhangjiajie #张家界 #avatar ,3-24,,,,https://www.tiktok.com/@poetic.china/video/7567644998057921814/,2026-07-23 06:06:06.290109+00:00,Where is this place in China?,place china
tiktok:01149ce2f23c2017,tiktok_comment,Это Ташкент?,,,0,,,,,ru,"#fyp,#china,#chongqing,#travel,#cyberpunk",#ChinaTravel,7643479398821252096,"Explore China while your young, trust me 🥹. #fyp #china #chongqing #travel #cyberpunk",7-3,,,,https://www.tiktok.com/@omnifx/video/7643479398821252366/,2026-07-24 07:42:56.655611+00:00,Это Ташкент?,это ташкент
tiktok:01183304566e0019,tiktok_comment,Is that Chinese Donald trump,,,0,,,,,en,"#trump,#china,#chinatravel,#panda,#chongqing",#ChinaTravel,7660017316125494272,Spicy bamboo #trump #china #chinatravel #panda #chongqing ,3d ago,,,,https://www.tiktok.com/@trumpbyryan/video/7660017316125494558/,2026-07-24 07:42:35.312226+00:00,Is that Chinese Donald trump,chinese donald trump
tiktok:0118d588ca65f08c,tiktok_comment,I’m ready to come visit💯💯,,,0,,,,,en,"#fyp,#tellme,#traveltiktok,#china,#hainan",#ChinaTravel,7661712451846589440,Can you believe what it costs to travel/live in China  This is in Sanya which is Chinas version of Hawaii. Here prices are higher than most cities except Shenzhen of Shanghai. However it’s unbelievable how affordable it is as a tourist.  Average cost of things in China: Hotel $40 Chinese meal $4 Western meal $10 Uber $2.50 Metro $0.60  Train $12  #fyp #tellme #traveltiktok #china #hainan ,7-16,,,,https://www.tiktok.com/@christian.grossi/video/7661712451846589726/,2026-07-24 07:32:34.452411+00:00,I’m ready to come visit,ready come visit
tiktok:0125c45fb9407208,tiktok_comment,Whereeeee is this,,,0,,,,,en,"#luxchongzuo,#china,#travel",#TravelChina,7656503075309423616,Dreamiest resort in China😍 #luxchongzuo #china #travel  ,1d ago,,,,https://www.tiktok.com/@princessragonn/video/7656503075309423894/,2026-07-23 06:05:45.032163+00:00,Wheree is this,wheree
tiktok:012cd2d4107b9980,tiktok_comment,God’s creation,,,0,,,,,en,"#Sichuan,#ChinaView,#Vibes,#Nature",#ChinaTravel,7629051143234128896,"Daocheng Yading, hidden deep in Sichuan, China.  On the edge of the Qinghai–Xizang Plateau, where snow peaks touch the sky and silence feels sacred.  Three holy mountains rise above everything — Xiannairi, Yangmaiyong, and Xianuoduoji.  Below them, crystal lakes shimmer in impossible shades of blue.  This is Yading — “the land of sunlight.” And many believe it’s the last untouched paradise on Earth.  #🇨🇳 #Sichuan #ChinaView #Vibes #Nature",7-29,,,,https://www.tiktok.com/@a.great.soul/video/7629051143234129170/,2026-08-17 07:16:56.141798+00:00,God’s creation,god creation
tiktok:013840ea678aee8d,tiktok_comment,"mon maap, tmenku nanya bb 120 bisa gak ? dia mau komen tapi malu",,,0,,,,,id,"#travelguide,#Chinatravel,#asianboy,#hiking,#chinahiking",#ChinaTravel,7654782158065683456,When you go mountain climbing in China but don't want to get too tired......#travelguide #Chinatravel #asianboy #hiking #chinahiking ,6-25,,,,https://www.tiktok.com/@jessi_guangzhou_tour/video/7654782158065683726/,2026-07-24 07:46:44.414119+00:00,"mon maap, tmenku nanya bb 120 bisa gak ? dia mau komen tapi malu",mon maap tmenku nanya bb gak komen malu
tiktok:013af7097a11a786,tiktok_comment,My dream,,,0,,,,,en,"#hulunbuirgrassland,#mongolia,#china,#fairyland",#ExploreChina,7632478224743730176,"🇨🇳 The Hulunbuir Grassland in Inner Mongolia, China, is one of the largest and best-preserved grasslands in the world, renowned for its lush green grass, meandering rivers, and Mongolian nomadic culture. Often called ""China's most beautiful grassland,"" the destination offers a 1,200-meter high-speed grass slide, horseback riding, yurt stays, and authentic cuisine. 🇨🇳 #hulunbuirgrassland #mongolia #china #fairyland ",5-7,,,,https://www.tiktok.com/@l1m_888_/video/7632478224743730439/,2026-08-17 08:12:24.147974+00:00,My dream,dream
tiktok:0140de92cbf8272c,tiktok_comment,"oh jia u curl ur hair???I think the previous hairstyle look better on u! but still ur facial features, voice and fingers 🤌 are still attractive 💙",,,0,,,,,en,,#TravelChina,7674645157811211264,,3h ago,,,,https://www.tiktok.com/@jia.mai/video/7674645157811211541/,2026-08-17 06:38:31.138396+00:00,"oh jia u curl ur hair???I think the previous hairstyle look better on u! but still ur facial features, voice and fingers are still attractive",oh jia curl ur hair think previous hairstyle look better still ur facial features voice fingers still attractive
tiktok:0142a29e691f16fe,tiktok_comment,Imagine what the government has,,,0,,,,,en,"#shenzhen,#shenzhenchina,#lifeinchina,#travelchina,#livinginchina",#ChinaTravel,7656384468005014528,The science and technology museum in Shenzhen China is huge!!!! #shenzhen #shenzhenchina #lifeinchina #travelchina #livinginchina ,7-11,,,,https://www.tiktok.com/@bradinchina/video/7656384468005014805/,2026-07-24 07:37:09.921733+00:00,Imagine what the government has,imagine government
tiktok:01431e2a9c2f88a9,tiktok_comment,oh to be right there,,,0,,,,,en,"#furong,#china,#furongzhen,#waterfall",#ExploreChina,7641118532356426752,The most magical place I’ve ever seen 😍 #furong #china #furongzhen #waterfall ,5-28,,,,https://www.tiktok.com/@stellyt0020/video/7641118532356427015/,2026-07-25 08:43:21.902315+00:00,oh to be right there,oh right
tiktok:0167bc42498e210c,tiktok_comment,essa ponte maravilha,,,0,,,,,en,"#china,#beauty,#travel,#amazing",#ChinaTravel,7663366594881457152,"Spanning a hundred-meter-deep gorge, the stunning glass Ruyi Bridge at Shenxianju terrifies most travelers; only a tiny fraction can cross steadily, leaving many scrambling along its railings out of fear.#china #beauty #travel #amazing ",2d ago,,,,https://www.tiktok.com/@poetic.china/video/7663366594881457430/,2026-07-24 07:42:10.916055+00:00,essa ponte maravilha,essa ponte maravilha
tiktok:0181d0c2025cb27b,tiktok_comment,clean modernism ✨,,,0,,,,,en,"#chinatravel,#shenzhen,#cyberpunk,#future,#traveldiaries",#VisitChina,7636564414308649984,"Shenzhen was China’s first Special Economic Zone — and in just over 40 years, it grew from a small fishing town into one of the country’s biggest and most global cities. Today, it’s one of China’s main gateways to the world, with land, sea and air connections all in one place. It’s home to some of China’s biggest tech companies like Tencent, Huawei, DJI and BYD. Unlike Beijing’s history or Guangzhou’s traditions, Shenzhen is all about speed, innovation and what’s next. Save this destination to your next visit to China 🇨🇳✨ Comment ""Shenzhen"" to get customised itinerary for your Shenzhen trip🤩 #chinatravel #shenzhen #cyberpunk #future #traveldiaries",7-4,,,,https://www.tiktok.com/@chinaknowhow/video/7636564414308650262/,2026-08-17 07:56:29.104785+00:00,clean modernism,clean modernism
tiktok:0183f47cdf574666,tiktok_comment,xăng dầu điện chung nhà,,,0,,,,,vi,"#Chinese,#travel,#Shenzhen,#travelguide,#ShenzhenChina",#ChinaTravel,7661220699196967936,This isn’t AI-generated. It’s an actual parking lot in Shenzhen. #Chinese#travel#Shenzhen#travelguide#ShenzhenChina,1d ago,,,,https://www.tiktok.com/@sofiabargas81/video/7661220699196968206/,2026-07-24 07:45:21.499431+00:00,xăng dầu điện chung nhà,xăng dầu điện chung nhà
tiktok:018482bc18050f51,tiktok_comment,"You're right, China has never planned to become a tourist destination. Its thousands of years of history have shaped its development path and social responsibilities.",,,0,,,,,en,"#foryou,#fyp,#travelchina,#learnchinese,#china",#ChinaTravel,7658479701295385600,The biggest culture shock wasn't the language but it WAS realizing the country wasn't built around tourists???🗣️ Where have you traveled that pushed you the furthest outside your comfort zone? #foryou #fyp #travelchina #learnchinese #china,7-13,,,,https://www.tiktok.com/@beyond_the_wall_blog/video/7658479701295385878/,2026-07-24 07:39:34.703825+00:00,"You're right, China has never planned to become a tourist destination. Its thousands of years of history have shaped its development path and social responsibilities.",right china never planned become tourist thousands years history shaped development path social responsibilities
tiktok:01855f294d369407,tiktok_comment,I want to go there,,,0,,,,,en,"#china,#Travel,#Guangzhou,#food,#TourGuide",#ChinaTravel,7646735833076075520,Ever eaten wiht your feet in the water?#china #Travel #Guangzhou #food #TourGuide ,6-8,,,,https://www.tiktok.com/@eunices.guangzhou/video/7646735833076075807/,2026-07-24 07:45:02.122954+00:00,I want to go there,want go
tiktok:01a0f0517148cb0c,tiktok_comment,Good reason to avoid Chinese public holidays,,,0,,,,,en,"#chinatravel,#traveltips,#chongqing,#vacation,#chinatrip",#TravelChina,7670369780825672704,"Online vs reality. Chongqing is great fun, yet there are way too many tourists on vacation!To avoid this situation，DM us for your custom China trip.#chinatravel #traveltips #chongqing #vacation #chinatrip ",3d ago,,,,https://www.tiktok.com/@traveltochina666/video/7670369780825672981/,2026-08-17 06:40:32.186507+00:00,Good reason to avoid Chinese public holidays,good reason avoid chinese public holidays
tiktok:01a9ea5c46f968db,tiktok_comment,Which area is the best to stay in shanghai ? I want to be close to the main attractions.,,,0,,,,,en,"#china,#shanghai,#backpacking,#travel,#traveltok",#ExploreChina,7670056780352719872,"If you’re looking for a perfect Shanghai, China 🇨🇳 itinerary, this is the video fo you! #china #shanghai #backpacking #travel #traveltok ",8-4,,,,https://www.tiktok.com/@theyorkertravels/video/7670056780352720142/,2026-08-17 06:31:09.467053+00:00,Which area is the best to stay in shanghai ? I want to be close to the main attractions.,area best stay shanghai want close main attractions
tiktok:01b3d639fa3d9ee7,tiktok_comment,today at Tianjin too🥰,,,0,,,,,en,"#tianjin,#天津,#wolink,#chinatravel,#chinanature,#explorechina,#travel,#fyp,#tiktoktravel,#VisitChina,#ChinaTourism,#travelbucketlist,#winter,#snow",#VisitChina,7598389228443012096,"Tianjin: Where history, modernity, and snow collide for the perfect winter escape! 🧨 #tianjin #天津 #wolink #chinatravel #chinanature #explorechina #travel #fyp #tiktoktravel #VisitChina #ChinaTourism #travelbucketlist #winter #snow ",3-22,,,,https://www.tiktok.com/@lamartin183/video/7598389228443012407/,2026-08-17 06:52:23.775461+00:00,today at Tianjin too,today tianjin
tiktok:01bb920e5a84d4f4,tiktok_comment,The juiciest strawberry 🍓 ፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰ kisexai cc ፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰፰,,,0,,,,,en,"#威海,#山东,#sea,#weihai,#shandong,#wolink,#chinanature,#fypppppppppppppp,#explorechina,#chinatravel,#travel,#fyp,#tiktoktravel,#VisitChina,#ChinaTourism,#travelbucketlist",#ChinaTour,7547906555484720128,"Weihai, a coastal gem in Shandong, charms with crystal-clear seas, golden beaches, and gentle sea breezes—perfect for relaxing and savoring fresh seafood. #威海 #山东 #sea #weihai #shandong #wolink #chinanature #fypppppppppppppp #explorechina #chinatravel #travel #fyp #tiktoktravel #VisitChina #ChinaTourism #travelbucketlist #fypppppppppppppp ",2-28,,,,https://www.tiktok.com/@lamartin183/video/7547906555484720439/,2026-08-17 07:47:17.466695+00:00,The juiciest strawberry ፰፰ kisexai cc ፰፰,juiciest strawberry ፰፰ kisexai cc ፰፰
tiktok:01bcee72a1b2fdfa,tiktok_comment,"City name is Sanya, the beach neraby sanya bay, there are other two famous bay called ya long bay and haitang wan.",,,0,,,,,en,"#fyp,#tellme,#traveltiktok,#china,#hainan",#ChinaTravel,7661699573282278400,"Can you believe that this is the real China  China is not the country that the west has told us it is, at least from a tourist perspective. When i orginally came here i was nervous, hesitant, I didn’t know what to expect.  But now i have been to 15 cities, almost 10 provinces, spoke with hundreds of people, and learned that China is like every other country in the world. It has people that work, laugh, talk, vacation, it’s a normal place.  This is Sanya in Hainan #fyp #tellme #traveltiktok #china #hainan ",7-13,,,,https://www.tiktok.com/@christian.grossi/video/7661699573282278686/,2026-07-24 07:36:00.279442+00:00,"City name is Sanya, the beach neraby sanya bay, there are other two famous bay called ya long bay and haitang wan.",city name sanya beach neraby sanya bay two famous bay called ya long bay haitang wan
